x,y,z,c
178,67,26,#000000
151,88,19,#000000
174,71,2,#000000
43,163,21,#000000
135,34,29,#000000
158,131,43,#000000
44,162,24,#000000
93,26,45,#000000
128,30,28,#000000
41,162,18,#000000
94,37,8,#000000
140,53,48,#000000
171,31,59,#000000
163,135,46,#000000
176,73,31,#000000
38,165,21,#000000
79,165,39,#000000
100,5,16,#000000
136,39,9,#000000
144,34,52,#000000
175,32,54,#000000
38,162,18,#000000
78,162,39,#000000
156,37,6,#000000
164,145,15,#000000
155,146,5,#000000
169,137,44,#000000
173,19,1,#000000
132,36,24,#000000
171,76,7,#000000
169,18,8,#000000
157,138,17,#000000
50,165,50,#000000
107,44,53,#000000
141,46,3,#000000
162,147,2,#000000
168,136,36,#000000
42,165,23,#000000
44,173,47,#000000
149,42,57,#000000
176,40,59,#000000
145,41,5,#000000
162,39,5,#000000
178,68,6,#000000
163,145,2,#000000
166,129,48,#000000
172,138,35,#000000
76,158,41,#000000
135,44,5,#000000
137,44,3,#000000
135,38,26,#000000
94,4,18,#000000
138,31,26,#000000
44,171,46,#000000
100,6,21,#000000
91,26,43,#000000
162,140,10,#000000
174,143,41,#000000
171,75,4,#000000
167,137,42,#000000
40,175,7,#000000
95,3,15,#000000
175,22,5,#000000
132,35,23,#000000
136,45,4,#000000
176,39,59,#000000
172,20,1,#000000
167,17,4,#000000
41,175,7,#000000
48,168,50,#000000
85,156,40,#000000
76,159,39,#000000
160,8,21,#000000
160,6,28,#000000
94,30,40,#000000
176,65,25,#000000
164,139,19,#000000
163,135,14,#000000
155,146,6,#000000
157,147,2,#000000
40,178,5,#000000
41,156,22,#000000
46,169,51,#000000
164,4,25,#000000
146,54,55,#000000
152,34,59,#000000
168,136,44,#000000
172,135,40,#000000
93,26,40,#000000
144,55,0,#000000
131,44,4,#000000
133,39,9,#000000
170,76,6,#000000
108,4,35,#000000
143,57,55,#000000
163,141,10,#000000
167,139,14,#000000
133,34,23,#000000
153,41,4,#000000
178,39,59,#000000
41,164,19,#000000
45,171,46,#000000
91,25,45,#000000
95,26,39,#000000
115,4,34,#000000
151,83,16,#000000
112,5,33,#000000
91,24,43,#000000
145,40,2,#000000
177,64,35,#000000
179,68,31,#000000
146,37,53,#000000
173,31,55,#000000
38,163,19,#000000
174,16,0,#000000
136,48,11,#000000
135,46,6,#000000
147,42,58,#000000
145,37,53,#000000
174,67,26,#000000
92,24,44,#000000
131,34,29,#000000
178,32,54,#000000
177,73,30,#000000
160,143,12,#000000
43,172,49,#000000
82,163,37,#000000
109,5,36,#000000
140,57,0,#000000
157,36,6,#000000
175,34,56,#000000
166,130,48,#000000
83,160,40,#000000
93,30,43,#000000
176,70,32,#000000
45,174,47,#000000
134,36,3,#000000
157,43,9,#000000
179,69,31,#000000
165,142,14,#000000
143,57,50,#000000
141,55,49,#000000
167,68,8,#000000
134,32,30,#000000
154,39,10,#000000
108,3,33,#000000
92,23,37,#000000
91,24,45,#000000
173,16,0,#000000
133,39,27,#000000
148,51,51,#000000
177,38,57,#000000
151,89,20,#000000
171,73,9,#000000
171,64,28,#000000
109,6,37,#000000
115,5,36,#000000
90,43,6,#000000
96,30,41,#000000
140,44,3,#000000
148,31,57,#000000
167,138,16,#000000
172,66,31,#000000
40,161,26,#000000
90,34,8,#000000
147,58,5,#000000
131,42,6,#000000
141,34,57,#000000
156,40,11,#000000
83,159,35,#000000
116,3,35,#000000
170,75,7,#000000
175,69,33,#000000
43,162,24,#000000
112,0,36,#000000
157,8,24,#000000
145,59,4,#000000
144,59,53,#000000
176,71,4,#000000
35,178,0,#000000
39,177,7,#000000
108,42,51,#000000
161,144,10,#000000
38,167,22,#000000
45,171,50,#000000
80,157,33,#000000
111,2,41,#000000
148,39,54,#000000
176,35,56,#000000
162,39,7,#000000
152,86,19,#000000
75,156,38,#000000
96,2,14,#000000
112,41,58,#000000
131,31,21,#000000
137,41,0,#000000
146,40,55,#000000
133,34,30,#000000
167,68,7,#000000
35,179,1,#000000
90,23,39,#000000
106,42,52,#000000
136,42,14,#000000
141,40,8,#000000
135,41,4,#000000
131,40,8,#000000
163,141,18,#000000
172,139,36,#000000
159,10,24,#000000
177,69,6,#000000
149,35,52,#000000
146,53,48,#000000
41,165,24,#000000
39,160,17,#000000
44,171,50,#000000
48,165,44,#000000
98,3,14,#000000
117,1,39,#000000
143,55,55,#000000
172,31,58,#000000
167,68,6,#000000
162,136,49,#000000
99,24,42,#000000
108,4,34,#000000
171,22,3,#000000
152,84,25,#000000
172,69,1,#000000
77,159,36,#000000
95,1,23,#000000
115,1,41,#000000
117,3,36,#000000
133,42,26,#000000
148,51,50,#000000
115,40,55,#000000
111,44,57,#000000
133,41,0,#000000
137,48,11,#000000
162,146,16,#000000
108,39,49,#000000
179,68,29,#000000
173,68,11,#000000
164,146,14,#000000
92,40,10,#000000
100,2,24,#000000
94,29,43,#000000
157,45,4,#000000
175,65,25,#000000
150,84,17,#000000
168,70,5,#000000
44,161,20,#000000
91,26,44,#000000
172,20,2,#000000
146,38,54,#000000
173,65,26,#000000
94,22,47,#000000
132,46,4,#000000
134,31,31,#000000
179,66,27,#000000
174,71,31,#000000
40,166,46,#000000
98,3,24,#000000
101,4,21,#000000
116,4,35,#000000
138,37,1,#000000
135,44,7,#000000
134,35,29,#000000
152,39,9,#000000
80,158,33,#000000
93,1,16,#000000
100,3,15,#000000
159,2,19,#000000
90,42,10,#000000
112,39,59,#000000
40,166,20,#000000
82,162,38,#000000
93,24,47,#000000
116,2,33,#000000
97,25,45,#000000
163,145,16,#000000
35,160,23,#000000
90,25,42,#000000
143,34,4,#000000
153,39,2,#000000
102,3,16,#000000
92,24,45,#000000
160,9,22,#000000
107,41,58,#000000
134,47,5,#000000
172,71,2,#000000
164,131,50,#000000
158,135,47,#000000
160,9,26,#000000
139,38,0,#000000
138,31,27,#000000
157,38,5,#000000
150,57,2,#000000
173,136,45,#000000
95,29,44,#000000
93,26,42,#000000
135,43,5,#000000
175,38,58,#000000
175,136,35,#000000
173,140,43,#000000
41,165,20,#000000
84,158,41,#000000
136,44,5,#000000
132,41,6,#000000
135,48,4,#000000
144,52,57,#000000
134,44,1,#000000
138,51,54,#000000
157,46,4,#000000
133,46,6,#000000
158,142,14,#000000
33,176,8,#000000
40,167,48,#000000
97,5,16,#000000
93,27,39,#000000
95,31,41,#000000
134,48,3,#000000
160,5,28,#000000
140,45,7,#000000
174,35,58,#000000
151,84,25,#000000
177,62,30,#000000
108,2,39,#000000
108,40,49,#000000
134,43,5,#000000
157,39,12,#000000
155,147,5,#000000
46,166,53,#000000
90,22,46,#000000
175,140,40,#000000
167,137,41,#000000
156,130,46,#000000
42,168,50,#000000
92,24,43,#000000
160,13,24,#000000
170,18,9,#000000
172,13,5,#000000
143,55,56,#000000
157,132,48,#000000
98,7,22,#000000
94,3,17,#000000
114,4,33,#000000
155,2,27,#000000
112,45,53,#000000
98,30,45,#000000
175,63,30,#000000
156,144,9,#000000
94,3,22,#000000
139,40,7,#000000
137,37,6,#000000
147,57,5,#000000
141,57,51,#000000
145,53,56,#000000
158,133,49,#000000
146,55,53,#000000
100,22,42,#000000
134,27,26,#000000
94,32,42,#000000
148,59,3,#000000
145,34,52,#000000
133,33,30,#000000
45,167,44,#000000
109,1,41,#000000
143,52,47,#000000
161,42,5,#000000
168,19,4,#000000
92,41,8,#000000
134,41,13,#000000
143,36,55,#000000
168,68,3,#000000
161,143,11,#000000
79,161,41,#000000
110,39,49,#000000
112,46,55,#000000
142,57,54,#000000
161,144,12,#000000
48,170,49,#000000
50,165,45,#000000
145,37,9,#000000
144,51,47,#000000
141,53,56,#000000
173,66,33,#000000
161,136,45,#000000
164,133,49,#000000
93,1,21,#000000
143,45,3,#000000
138,39,9,#000000
140,55,51,#000000
172,68,11,#000000
159,141,11,#000000
109,36,54,#000000
141,58,3,#000000
41,157,22,#000000
35,178,8,#000000
78,159,35,#000000
110,8,37,#000000
111,9,35,#000000
112,46,54,#000000
144,34,53,#000000
165,141,16,#000000
161,127,46,#000000
42,159,17,#000000
141,46,4,#000000
162,149,14,#000000
77,158,42,#000000
161,6,21,#000000
172,64,33,#000000
162,136,14,#000000
155,146,8,#000000
177,36,56,#000000
40,160,17,#000000
92,22,37,#000000
155,3,26,#000000
105,39,53,#000000
146,56,53,#000000
147,42,56,#000000
97,2,14,#000000
116,4,34,#000000
178,64,35,#000000
158,133,46,#000000
168,139,41,#000000
175,68,33,#000000
161,137,46,#000000
98,4,23,#000000
93,24,38,#000000
143,46,3,#000000
178,40,58,#000000
152,88,21,#000000
171,65,32,#000000
160,135,49,#000000
136,44,13,#000000
159,46,7,#000000
41,165,51,#000000
95,2,15,#000000
101,5,19,#000000
100,1,24,#000000
112,7,33,#000000
135,36,4,#000000
165,138,18,#000000
51,165,48,#000000
91,24,39,#000000
109,43,51,#000000
141,43,6,#000000
175,72,31,#000000
131,38,26,#000000
152,39,7,#000000
38,177,8,#000000
156,5,25,#000000
131,41,0,#000000
162,136,13,#000000
157,132,47,#000000
170,139,37,#000000
172,136,35,#000000
42,175,4,#000000
47,171,50,#000000
110,7,36,#000000
136,47,11,#000000
135,47,8,#000000
141,58,52,#000000
83,162,38,#000000
92,24,46,#000000
168,136,43,#000000
159,43,9,#000000
165,138,9,#000000
45,170,51,#000000
95,6,19,#000000
98,1,24,#000000
137,53,9,#000000
132,42,0,#000000
148,34,52,#000000
158,129,42,#000000
42,161,26,#000000
173,13,5,#000000
145,41,6,#000000
138,40,9,#000000
154,82,21,#000000
159,142,5,#000000
145,55,49,#000000
178,69,32,#000000
37,163,20,#000000
109,4,39,#000000
163,7,25,#000000
112,43,57,#000000
110,36,54,#000000
141,39,0,#000000
166,130,49,#000000
163,130,42,#000000
156,149,5,#000000
146,42,56,#000000
168,69,9,#000000
159,142,13,#000000
160,11,25,#000000
147,53,49,#000000
140,53,49,#000000
172,76,7,#000000
161,147,8,#000000
48,171,48,#000000
162,3,29,#000000
138,37,8,#000000
164,129,51,#000000
35,159,23,#000000
43,170,46,#000000
141,42,7,#000000
172,64,27,#000000
173,67,27,#000000
176,70,4,#000000
130,41,2,#000000
37,179,7,#000000
40,167,21,#000000
169,20,3,#000000
171,24,4,#000000
94,38,8,#000000
138,39,1,#000000
82,159,42,#000000
168,70,6,#000000
114,39,50,#000000
149,58,3,#000000
32,176,1,#000000
33,178,1,#000000
93,2,20,#000000
98,2,14,#000000
90,24,42,#000000
162,5,27,#000000
148,33,57,#000000
174,70,10,#000000
168,70,7,#000000
151,85,24,#000000
37,160,26,#000000
45,164,47,#000000
169,20,6,#000000
100,7,18,#000000
93,28,44,#000000
158,139,17,#000000
97,26,43,#000000
113,1,31,#000000
158,2,19,#000000
110,51,54,#000000
173,31,56,#000000
153,144,5,#000000
113,9,37,#000000
95,28,44,#000000
138,40,7,#000000
134,34,23,#000000
144,40,1,#000000
130,30,30,#000000
133,29,25,#000000
140,51,47,#000000
162,126,47,#000000
40,163,25,#000000
114,41,55,#000000
173,68,31,#000000
101,3,15,#000000
100,26,39,#000000
173,24,5,#000000
113,39,58,#000000
111,46,56,#000000
136,42,0,#000000
177,73,29,#000000
43,161,26,#000000
79,159,42,#000000
99,5,22,#000000
90,41,5,#000000
97,32,42,#000000
135,47,3,#000000
78,162,36,#000000
164,2,20,#000000
138,49,10,#000000
47,171,46,#000000
95,25,38,#000000
160,8,27,#000000
97,30,40,#000000
147,54,52,#000000
152,35,58,#000000
45,177,48,#000000
95,5,17,#000000
94,28,45,#000000
133,48,3,#000000
146,33,57,#000000
139,30,26,#000000
162,146,9,#000000
41,168,48,#000000
112,9,38,#000000
171,25,6,#000000
99,30,45,#000000
136,45,5,#000000
139,39,0,#000000
101,26,41,#000000
113,41,58,#000000
137,32,27,#000000
176,37,57,#000000
138,39,7,#000000
136,49,9,#000000
174,34,57,#000000
168,136,37,#000000
129,33,27,#000000
167,68,3,#000000
96,24,38,#000000
100,25,39,#000000
164,2,21,#000000
92,36,13,#000000
135,36,28,#000000
130,33,24,#000000
166,140,11,#000000
167,139,15,#000000
32,177,2,#000000
95,5,21,#000000
139,51,55,#000000
152,85,24,#000000
173,69,31,#000000
155,146,3,#000000
43,165,43,#000000
165,3,22,#000000
132,38,26,#000000
143,49,51,#000000
159,146,0,#000000
172,142,37,#000000
171,17,10,#000000
141,57,52,#000000
157,40,1,#000000
176,68,34,#000000
165,141,17,#000000
80,161,35,#000000
80,155,38,#000000
98,24,48,#000000
169,22,5,#000000
157,41,1,#000000
159,136,46,#000000
31,176,6,#000000
109,5,37,#000000
138,39,0,#000000
172,65,27,#000000
154,144,3,#000000
176,68,27,#000000
163,135,48,#000000
161,5,20,#000000
156,4,25,#000000
114,40,57,#000000
137,37,1,#000000
139,41,4,#000000
177,37,57,#000000
164,129,52,#000000
170,141,38,#000000
167,137,38,#000000
141,56,50,#000000
171,69,1,#000000
99,28,40,#000000
90,22,45,#000000
115,41,54,#000000
136,44,2,#000000
139,39,7,#000000
133,38,4,#000000
174,64,25,#000000
164,131,51,#000000
31,175,4,#000000
164,3,27,#000000
93,39,6,#000000
106,40,51,#000000
136,33,24,#000000
140,55,52,#000000
163,129,52,#000000
132,45,6,#000000
144,40,0,#000000
138,47,11,#000000
129,32,24,#000000
133,43,8,#000000
158,141,16,#000000
96,23,37,#000000
167,16,6,#000000
91,36,13,#000000
137,50,8,#000000
157,39,11,#000000
175,138,44,#000000
83,156,34,#000000
79,165,38,#000000
93,2,21,#000000
156,2,28,#000000
137,33,25,#000000
131,36,28,#000000
35,173,4,#000000
40,166,47,#000000
135,34,23,#000000
159,140,10,#000000
173,139,36,#000000
160,129,42,#000000
178,136,40,#000000
49,166,45,#000000
100,7,21,#000000
171,18,1,#000000
134,32,22,#000000
135,44,13,#000000
138,52,51,#000000
97,21,42,#000000
134,43,13,#000000
141,59,3,#000000
156,47,7,#000000
172,78,6,#000000
174,137,45,#000000
163,134,45,#000000
114,5,39,#000000
165,2,25,#000000
93,37,5,#000000
132,39,27,#000000
177,42,59,#000000
169,138,36,#000000
99,31,44,#000000
157,37,5,#000000
164,144,3,#000000
161,144,0,#000000
45,159,21,#000000
34,179,1,#000000
99,22,43,#000000
177,16,4,#000000
139,45,6,#000000
140,43,6,#000000
178,65,35,#000000
169,140,40,#000000
44,161,23,#000000
43,172,47,#000000
81,162,36,#000000
172,22,2,#000000
134,47,2,#000000
144,37,55,#000000
43,164,22,#000000
159,130,52,#000000
162,135,45,#000000
175,137,36,#000000
81,156,43,#000000
91,42,6,#000000
161,143,17,#000000
99,7,17,#000000
97,26,44,#000000
93,40,8,#000000
110,40,59,#000000
135,43,13,#000000
159,134,49,#000000
36,179,1,#000000
45,174,49,#000000
95,25,48,#000000
171,21,2,#000000
143,37,9,#000000
139,47,8,#000000
143,59,53,#000000
162,147,8,#000000
95,4,16,#000000
133,28,26,#000000
157,4,27,#000000
110,43,50,#000000
142,59,4,#000000
139,39,1,#000000
163,144,12,#000000
142,53,48,#000000
151,37,57,#000000
98,25,43,#000000
157,7,25,#000000
95,30,43,#000000
110,37,53,#000000
112,45,55,#000000
132,39,9,#000000
170,74,6,#000000
170,71,3,#000000
149,37,53,#000000
143,55,48,#000000
37,164,21,#000000
97,0,19,#000000
169,16,1,#000000
145,56,0,#000000
138,50,8,#000000
142,55,49,#000000
176,72,28,#000000
115,5,37,#000000
94,23,47,#000000
158,45,8,#000000
176,71,5,#000000
176,63,29,#000000
43,161,25,#000000
80,153,38,#000000
97,27,47,#000000
148,52,53,#000000
80,164,37,#000000
167,17,6,#000000
151,82,16,#000000
170,64,30,#000000
176,62,30,#000000
77,158,34,#000000
115,6,37,#000000
113,0,36,#000000
148,52,52,#000000
162,39,9,#000000
173,68,29,#000000
146,42,58,#000000
101,1,15,#000000
91,24,46,#000000
111,7,38,#000000
92,29,42,#000000
140,41,13,#000000
128,31,28,#000000
42,160,27,#000000
100,8,19,#000000
99,32,43,#000000
177,40,58,#000000
172,144,42,#000000
42,165,24,#000000
138,38,9,#000000
147,31,56,#000000
179,66,26,#000000
164,145,3,#000000
162,137,46,#000000
75,156,41,#000000
93,29,40,#000000
98,29,40,#000000
110,43,51,#000000
78,159,41,#000000
170,18,1,#000000
146,39,1,#000000
147,33,57,#000000
140,41,7,#000000
143,58,50,#000000
161,135,14,#000000
158,129,51,#000000
169,136,44,#000000
156,129,50,#000000
144,58,5,#000000
135,44,6,#000000
129,32,28,#000000
144,49,52,#000000
156,146,9,#000000
160,133,44,#000000
176,68,2,#000000
157,146,9,#000000
158,138,18,#000000
164,129,42,#000000
45,167,43,#000000
114,9,36,#000000
159,10,25,#000000
136,30,21,#000000
132,31,21,#000000
143,56,55,#000000
78,163,38,#000000
110,6,38,#000000
175,70,9,#000000
156,130,49,#000000
43,169,45,#000000
102,3,20,#000000
96,23,43,#000000
161,41,3,#000000
179,64,25,#000000
173,65,34,#000000
79,157,43,#000000
93,30,41,#000000
141,42,1,#000000
155,39,11,#000000
173,69,11,#000000
98,7,21,#000000
99,9,19,#000000
113,6,39,#000000
163,129,42,#000000
176,138,43,#000000
39,162,26,#000000
46,166,43,#000000
76,157,35,#000000
111,47,54,#000000
172,139,44,#000000
84,158,38,#000000
75,157,40,#000000
90,45,8,#000000
134,43,0,#000000
163,136,14,#000000
154,83,20,#000000
151,82,26,#000000
46,167,44,#000000
44,170,45,#000000
101,6,19,#000000
169,19,3,#000000
153,41,6,#000000
175,71,3,#000000
160,129,52,#000000
95,3,22,#000000
102,4,20,#000000
100,29,44,#000000
160,10,22,#000000
147,36,53,#000000
175,68,11,#000000
39,157,22,#000000
45,173,50,#000000
138,41,3,#000000
144,51,57,#000000
159,131,51,#000000
37,161,18,#000000
94,26,39,#000000
112,5,39,#000000
162,5,28,#000000
145,38,0,#000000
136,41,4,#000000
79,153,38,#000000
92,27,44,#000000
142,36,57,#000000
176,136,36,#000000
146,39,7,#000000
139,40,3,#000000
41,160,17,#000000
40,175,0,#000000
43,172,48,#000000
108,1,40,#000000
172,20,9,#000000
109,47,53,#000000
144,58,54,#000000
152,40,6,#000000
175,66,26,#000000
146,54,0,#000000
140,39,4,#000000
77,160,40,#000000
156,3,27,#000000
177,137,38,#000000
82,158,42,#000000
97,4,15,#000000
102,1,16,#000000
172,144,38,#000000
97,1,24,#000000
98,5,16,#000000
102,25,41,#000000
113,10,37,#000000
108,45,55,#000000
110,42,58,#000000
111,48,55,#000000
146,54,49,#000000
149,40,55,#000000
175,70,2,#000000
153,84,22,#000000
43,159,27,#000000
78,162,40,#000000
80,156,33,#000000
110,46,56,#000000
107,40,58,#000000
139,45,12,#000000
166,139,11,#000000
47,168,44,#000000
159,45,7,#000000
166,138,17,#000000
160,14,24,#000000
156,5,26,#000000
132,36,28,#000000
146,36,53,#000000
166,140,15,#000000
164,145,13,#000000
49,167,47,#000000
80,154,37,#000000
171,25,5,#000000
156,44,3,#000000
95,27,40,#000000
172,23,3,#000000
141,45,3,#000000
162,149,4,#000000
172,142,38,#000000
35,159,20,#000000
117,1,35,#000000
172,32,59,#000000
176,70,3,#000000
160,144,0,#000000
164,139,9,#000000
129,40,5,#000000
163,146,2,#000000
158,141,13,#000000
171,138,44,#000000
114,8,37,#000000
98,29,46,#000000
158,5,20,#000000
109,47,55,#000000
112,41,50,#000000
162,134,44,#000000
47,168,52,#000000
76,158,38,#000000
136,32,22,#000000
171,136,45,#000000
130,34,26,#000000
135,37,4,#000000
144,57,5,#000000
92,36,4,#000000
154,40,10,#000000
172,66,33,#000000
159,135,47,#000000
99,3,15,#000000
178,39,58,#000000
172,70,1,#000000
157,138,13,#000000
113,3,32,#000000
110,43,58,#000000
79,155,38,#000000
165,2,26,#000000
115,39,55,#000000
141,38,9,#000000
161,137,49,#000000
47,170,50,#000000
81,165,37,#000000
93,25,40,#000000
172,15,4,#000000
140,41,5,#000000
159,43,3,#000000
94,25,46,#000000
174,36,59,#000000
176,69,27,#000000
173,67,32,#000000
161,147,1,#000000
136,44,6,#000000
176,39,58,#000000
78,158,34,#000000
92,25,43,#000000
96,28,42,#000000
93,25,38,#000000
114,7,36,#000000
133,30,21,#000000
40,170,22,#000000
48,170,47,#000000
140,55,50,#000000
160,138,46,#000000
37,177,8,#000000
93,1,20,#000000
117,1,36,#000000
111,4,32,#000000
139,49,9,#000000
137,51,9,#000000
48,166,52,#000000
171,24,6,#000000
106,41,55,#000000
148,35,52,#000000
158,129,52,#000000
77,156,34,#000000
134,37,28,#000000
83,159,41,#000000
133,31,31,#000000
159,44,4,#000000
162,146,15,#000000
165,144,14,#000000
31,175,1,#000000
107,41,50,#000000
136,46,3,#000000
129,32,29,#000000
144,44,3,#000000
158,144,0,#000000
153,84,18,#000000
169,141,39,#000000
40,163,26,#000000
39,161,26,#000000
77,161,38,#000000
116,39,54,#000000
135,43,7,#000000
148,52,51,#000000
168,138,43,#000000
174,69,28,#000000
172,76,4,#000000
42,165,20,#000000
31,176,3,#000000
81,162,40,#000000
102,24,42,#000000
107,43,56,#000000
148,37,4,#000000
156,138,14,#000000
165,130,50,#000000
49,168,47,#000000
94,5,19,#000000
130,31,22,#000000
158,36,6,#000000
155,45,5,#000000
30,175,4,#000000
115,2,32,#000000
147,38,53,#000000
169,138,43,#000000
93,1,19,#000000
174,70,31,#000000
165,3,26,#000000
173,20,2,#000000
93,36,4,#000000
134,43,7,#000000
145,52,57,#000000
178,66,26,#000000
171,15,5,#000000
95,36,8,#000000
172,76,5,#000000
156,129,44,#000000
47,165,53,#000000
151,88,21,#000000
177,68,27,#000000
159,147,9,#000000
162,9,23,#000000
144,40,8,#000000
133,43,9,#000000
158,145,0,#000000
144,53,56,#000000
174,141,38,#000000
147,39,54,#000000
144,56,55,#000000
40,171,22,#000000
111,7,34,#000000
158,8,25,#000000
163,6,23,#000000
147,39,4,#000000
138,52,53,#000000
155,42,9,#000000
179,32,54,#000000
150,87,24,#000000
174,66,34,#000000
44,174,49,#000000
97,24,48,#000000
165,2,22,#000000
108,43,57,#000000
133,43,11,#000000
137,39,0,#000000
38,159,27,#000000
97,26,47,#000000
135,38,4,#000000
133,40,9,#000000
150,37,59,#000000
171,75,8,#000000
94,33,42,#000000
141,41,12,#000000
40,175,8,#000000
42,165,43,#000000
97,10,20,#000000
116,1,39,#000000
177,16,7,#000000
160,2,29,#000000
144,39,8,#000000
135,46,11,#000000
160,43,6,#000000
151,87,23,#000000
165,144,5,#000000
104,39,54,#000000
147,40,54,#000000
37,162,24,#000000
33,177,0,#000000
42,162,25,#000000
102,5,19,#000000
98,23,43,#000000
168,16,9,#000000
159,141,17,#000000
176,139,40,#000000
158,131,50,#000000
100,9,19,#000000
94,19,42,#000000
131,41,1,#000000
138,52,52,#000000
36,179,8,#000000
136,49,10,#000000
177,137,41,#000000
90,25,44,#000000
163,4,21,#000000
162,2,29,#000000
156,46,8,#000000
133,27,26,#000000
169,16,10,#000000
176,72,31,#000000
41,163,19,#000000
44,174,47,#000000
175,20,3,#000000
177,16,8,#000000
110,47,53,#000000
131,40,0,#000000
37,174,4,#000000
96,5,22,#000000
135,35,28,#000000
138,49,9,#000000
132,30,31,#000000
172,66,29,#000000
171,19,9,#000000
149,34,52,#000000
161,129,41,#000000
174,140,37,#000000
47,173,48,#000000
94,3,21,#000000
141,40,0,#000000
161,147,9,#000000
44,161,21,#000000
42,162,19,#000000
98,11,19,#000000
92,24,41,#000000
158,144,10,#000000
172,67,32,#000000
171,17,0,#000000
94,37,7,#000000
93,36,12,#000000
110,47,55,#000000
160,39,2,#000000
177,41,59,#000000
155,42,10,#000000
177,136,37,#000000
156,47,5,#000000
157,41,2,#000000
32,178,4,#000000
93,1,17,#000000
177,17,5,#000000
129,39,7,#000000
133,45,6,#000000
142,35,57,#000000
177,30,58,#000000
169,136,45,#000000
161,131,42,#000000
80,160,34,#000000
174,23,5,#000000
157,6,24,#000000
114,39,57,#000000
161,42,8,#000000
156,130,48,#000000
166,138,11,#000000
50,165,46,#000000
83,161,39,#000000
97,25,44,#000000
145,41,4,#000000
152,85,18,#000000
167,139,12,#000000
176,19,4,#000000
156,5,22,#000000
142,58,4,#000000
140,57,2,#000000
170,142,40,#000000
37,178,8,#000000
95,30,44,#000000
138,38,7,#000000
172,67,29,#000000
167,138,15,#000000
174,143,40,#000000
134,38,25,#000000
39,159,27,#000000
91,25,39,#000000
93,38,8,#000000
95,32,43,#000000
109,46,56,#000000
131,36,25,#000000
148,51,54,#000000
40,177,5,#000000
170,22,5,#000000
174,19,1,#000000
173,15,5,#000000
159,5,20,#000000
142,41,12,#000000
176,67,34,#000000
164,134,48,#000000
83,157,42,#000000
95,27,46,#000000
136,45,2,#000000
143,36,59,#000000
146,43,58,#000000
176,73,29,#000000
43,163,22,#000000
98,26,47,#000000
142,43,1,#000000
177,136,43,#000000
175,19,3,#000000
160,144,12,#000000
37,165,22,#000000
85,157,40,#000000
76,159,36,#000000
97,3,15,#000000
110,2,41,#000000
157,6,26,#000000
161,134,44,#000000
174,71,29,#000000
171,144,41,#000000
82,158,34,#000000
101,3,22,#000000
97,25,38,#000000
110,41,49,#000000
144,55,55,#000000
157,42,10,#000000
39,158,22,#000000
80,167,38,#000000
159,147,1,#000000
163,138,9,#000000
165,131,50,#000000
90,25,40,#000000
171,13,5,#000000
162,138,48,#000000
97,27,39,#000000
157,3,20,#000000
152,41,6,#000000
178,37,57,#000000
154,83,22,#000000
163,147,13,#000000
116,3,34,#000000
93,24,46,#000000
163,5,21,#000000
172,14,5,#000000
113,41,50,#000000
161,138,46,#000000
169,70,3,#000000
157,131,50,#000000
81,153,38,#000000
101,2,23,#000000
111,9,36,#000000
136,47,4,#000000
130,35,25,#000000
176,34,55,#000000
108,3,39,#000000
97,25,40,#000000
129,39,1,#000000
135,36,25,#000000
138,30,29,#000000
145,57,50,#000000
97,9,20,#000000
137,30,29,#000000
136,32,30,#000000
161,39,10,#000000
108,45,53,#000000
138,42,14,#000000
36,161,24,#000000
95,4,17,#000000
162,9,25,#000000
171,18,9,#000000
177,16,2,#000000
90,41,11,#000000
156,39,11,#000000
157,138,12,#000000
174,142,40,#000000
168,138,38,#000000
46,168,44,#000000
46,173,47,#000000
175,20,6,#000000
142,41,8,#000000
147,35,52,#000000
161,41,8,#000000
172,140,43,#000000
76,158,35,#000000
93,19,42,#000000
92,24,38,#000000
92,36,12,#000000
146,40,3,#000000
173,33,57,#000000
154,144,7,#000000
161,140,10,#000000
45,160,23,#000000
96,28,44,#000000
130,41,1,#000000
133,44,10,#000000
140,51,57,#000000
177,37,56,#000000
112,0,35,#000000
168,18,2,#000000
114,42,54,#000000
131,41,9,#000000
172,68,12,#000000
172,144,39,#000000
37,178,0,#000000
76,157,41,#000000
101,5,18,#000000
94,22,37,#000000
138,51,50,#000000
154,83,21,#000000
176,68,10,#000000
164,141,10,#000000
91,25,44,#000000
111,3,40,#000000
114,42,56,#000000
137,41,1,#000000
139,41,6,#000000
175,37,57,#000000
49,167,51,#000000
116,2,39,#000000
92,40,8,#000000
147,45,57,#000000
165,141,11,#000000
159,141,16,#000000
36,174,4,#000000
44,159,18,#000000
93,24,39,#000000
137,39,9,#000000
138,38,1,#000000
140,56,51,#000000
41,167,49,#000000
101,1,24,#000000
168,17,8,#000000
169,72,5,#000000
176,70,33,#000000
161,141,47,#000000
141,44,9,#000000
163,142,17,#000000
45,165,42,#000000
46,168,52,#000000
91,24,38,#000000
132,28,26,#000000
134,45,6,#000000
142,45,3,#000000
157,129,51,#000000
109,48,55,#000000
109,44,51,#000000
39,176,8,#000000
78,158,42,#000000
173,23,3,#000000
155,3,22,#000000
173,19,9,#000000
110,48,55,#000000
140,46,9,#000000
143,34,54,#000000
145,36,53,#000000
152,40,4,#000000
172,67,5,#000000
177,61,30,#000000
97,28,46,#000000
107,42,56,#000000
